zstd,6,218259456,2325
xz,-,194895872,20773
zstd,8,216686592,2261
zstd,16,204648448,2443
zstd,17,204582912,2445
zstd,2,236896256,2368
lzo,-,248418304,1592
zstd,14,206553088,2427
zstd,9,216248320,2251
zstd,15,205639680,2426
zstd,11,215736320,2240
zstd,13,214511616,2305
zstd,4,230150144,2421
zstd,3,232402944,2303
zstd,5,222928896,2423
zstd,19,203915264,2458
zstd,18,204578816,2448
zstd,21,203837440,2454
zstd,22,203833344,2460
zstd,12,215552000,2239
zstd,20,203845632,2458
zstd,10,216002560,2249
zstd,7,217362432,2277
zstd,1,241745920,2263
zstd,13,214511616,2307
zstd,17,204582912,2449
zstd,11,215736320,2242
zstd,6,218259456,2324
zstd,15,205639680,2422
zstd,2,236896256,2374
zstd,4,230150144,2429
zstd,19,203915264,2461
zstd,3,232402944,2311
zstd,9,216248320,2253
zstd,14,206553088,2436
zstd,12,215552000,2237
zstd,10,216002560,2253
zstd,1,241745920,2265
zstd,18,204578816,2459
xz,-,194895872,20760
zstd,22,203833344,2464
zstd,21,203837440,2456
zstd,5,222928896,2430
lzo,-,248418304,1598
zstd,20,203845632,2460
zstd,7,217362432,2276
zstd,8,216686592,2265
zstd,16,204648448,2440
zstd,8,216686592,2261
zstd,13,214511616,2309
zstd,16,204648448,2440
zstd,2,236896256,2367
zstd,10,216002560,2243
xz,-,194895872,20773
zstd,1,241745920,2261
zstd,22,203833344,2463
zstd,15,205639680,2420
zstd,19,203915264,2458
zstd,14,206553088,2430
zstd,11,215736320,2243
zstd,7,217362432,2278
zstd,6,218259456,2328
zstd,12,215552000,2235
zstd,21,203837440,2455
zstd,3,232402944,2305
zstd,9,216248320,2253
zstd,20,203845632,2462
zstd,17,204582912,2459
zstd,5,222928896,2428
zstd,4,230150144,2427
lzo,-,248418304,1595
zstd,18,204578816,2439
